aX,aY,aZ,gX,gY,gZ
0.123,0.711,2.124,32.410,26.810,44.170
0.155,0.108,1.550,90.930,34.300,56.000
0.055,-2.226,1.529,372.470,15.960,-20.930
0.216,1.251,0.830,208.460,69.370,61.040
0.353,0.440,0.685,344.750,124.110,86.240
0.252,0.423,0.908,257.740,190.400,144.200
-0.005,0.086,1.157,230.860,207.200,64.120
-0.344,-2.123,3.721,61.810,57.960,-112.980
-0.275,-0.530,2.506,28.070,-69.860,-155.820
-0.175,0.676,1.695,39.550,-73.640,-111.370
-0.176,1.263,1.481,44.450,-50.890,-24.220
-0.309,1.204,1.713,51.450,-41.790,22.820
-0.387,1.008,2.340,60.900,-71.400,53.480
-0.469,0.671,2.696,35.210,-133.980,48.930
-0.569,0.519,2.527,16.450,-197.890,34.370
-0.554,0.592,2.043,3.360,-227.360,30.380
-0.484,0.740,1.645,6.650,-233.870,38.500
-0.381,0.790,1.548,13.020,-225.820,53.130
-0.372,0.621,1.658,14.280,-228.620,53.760
-0.383,0.433,1.727,-3.640,-243.180,54.810
-0.265,0.516,1.501,-23.520,-268.870,73.290
-0.372,0.415,1.106,-2.730,-240.450,36.540
-0.466,0.632,1.031,-11.130,-181.930,30.800
-0.188,0.996,1.603,-21.000,-125.020,82.670
-0.166,0.989,2.395,22.470,-192.710,138.880
-0.397,0.169,1.953,47.880,-241.850,123.970
-0.379,-0.035,1.214,32.690,-227.220,96.740
-0.404,-0.088,0.825,50.330,-196.700,76.300
-0.533,0.161,1.105,-12.110,-206.150,46.270
0.042,0.432,0.487,-39.480,-155.470,55.440
-0.026,0.485,0.724,4.410,-104.020,67.480
-0.129,0.314,1.409,0.770,-107.310,66.430
-0.265,0.204,1.881,-7.910,-162.050,60.830
-0.315,0.129,1.704,-14.490,-196.280,50.820
-0.287,0.154,1.403,-35.420,-209.790,35.070
-0.298,0.227,1.204,-44.240,-201.600,25.410
-0.327,0.337,1.409,-54.810,-195.370,26.320
-0.322,0.394,1.670,-63.140,-219.030,32.900
-0.291,0.407,1.673,-53.620,-250.600,53.410
-0.294,0.251,1.533,-23.380,-274.470,66.360
-0.335,0.020,1.386,2.660,-290.570,69.160
-0.396,-0.191,1.299,27.160,-303.660,59.010
-0.342,-0.317,1.224,46.130,-315.420,27.440
-0.358,-0.231,1.064,58.590,-325.850,11.060
-0.375,-0.095,0.856,55.720,-337.960,3.080
-0.384,0.052,0.624,44.170,-340.270,1.610
-0.301,0.186,0.417,45.360,-329.280,12.600
-0.112,0.237,0.288,130.830,-312.830,30.380
-0.170,0.171,0.518,117.880,-303.940,38.920
-0.210,0.116,0.609,77.700,-316.610,40.180
-0.163,0.101,0.550,25.410,-334.460,41.300
-0.154,0.080,0.372,15.820,-349.720,46.130
-0.200,0.033,0.072,54.600,-351.190,47.460
-0.191,-0.051,-0.164,36.400,-333.550,34.160
-0.150,-0.022,-0.300,28.560,-308.770,19.530
-0.104,0.171,-0.336,5.180,-283.430,24.640
-0.046,0.281,-0.297,-2.030,-260.960,39.130
0.084,0.275,-0.233,15.400,-255.850,52.640
-0.072,0.224,-0.063,69.930,-273.000,58.520
0.049,-0.003,-0.292,56.000,-259.420,53.060
-0.091,0.043,0.018,2.100,-274.050,47.250
0.127,0.044,-0.105,-26.250,-297.640,39.620
0.029,0.128,-0.324,-50.260,-305.620,41.230
0.080,0.113,-0.472,-41.580,-302.470,43.260
0.134,0.055,-0.556,3.360,-296.100,46.620
0.116,-0.026,-0.595,35.350,-288.400,41.020
0.123,-0.073,-0.648,27.020,-272.090,26.810
0.160,0.141,-0.760,32.480,-255.990,30.660
0.237,0.240,-0.772,38.850,-232.050,38.850
0.265,0.300,-0.731,63.840,-222.880,52.780
0.269,0.238,-0.725,136.430,-218.120,70.280
0.271,0.124,-0.715,180.320,-213.920,70.980
0.310,-0.078,-0.563,244.300,-210.210,60.480
0.230,-0.069,-0.413,182.560,-223.860,74.970
0.232,-0.073,-0.698,229.390,-224.280,100.870
0.268,-0.196,-0.762,235.130,-205.870,101.080
0.262,-0.303,-0.698,277.620,-194.040,103.460
0.323,-0.455,-0.542,299.600,-199.080,100.100
0.366,-0.564,-0.581,309.400,-211.610,89.040
0.388,-0.642,-0.710,303.450,-219.590,77.140
0.383,-0.620,-0.922,294.000,-207.340,68.390
0.390,-0.540,-1.022,269.360,-182.840,64.890
0.368,-0.430,-0.796,228.690,-169.190,72.800
0.323,-0.309,-0.447,179.830,-181.230,83.510
0.262,-0.298,-0.234,136.780,-229.530,96.460
0.221,-0.358,-0.323,133.490,-262.430,110.880
0.150,-0.548,-0.649,122.220,-297.080,118.160
0.111,-0.762,-1.013,124.530,-326.410,122.220
0.015,-0.857,-1.358,119.700,-421.750,121.940
-0.112,-1.009,-1.989,125.650,-489.090,114.240
-0.176,-1.046,-2.947,119.630,-347.130,133.420
-0.060,-1.338,-3.478,87.710,-268.380,128.520
-0.016,-1.688,-3.845,54.180,-93.870,98.070
0.137,-1.982,-3.280,15.890,24.150,26.040
0.225,-1.879,-2.258,-19.460,78.470,-23.310
0.336,-1.536,-1.487,-17.010,83.580,-53.760
0.424,-1.216,-0.993,-7.420,75.110,-70.350
0.442,-0.983,-0.841,-2.590,71.050,-87.360
0.427,-0.705,-0.772,-12.110,75.740,-94.990
0.423,-0.464,-0.624,0.700,78.680,-93.310
0.398,-0.319,-0.301,-15.750,64.120,-94.640
0.373,-0.096,-0.111,-37.730,30.730,-79.100
0.368,0.240,-0.085,-59.850,-10.080,-49.560
0.393,0.340,-0.316,-73.920,-46.480,-16.450
0.352,0.271,-0.480,-94.220,-62.370,13.860
0.326,-0.002,-0.633,-112.840,-73.500,20.300
0.307,-0.176,-0.788,-131.740,-84.140,19.880
0.308,-0.203,-0.909,-146.440,-88.270,25.270
0.326,-0.153,-1.030,-153.580,-92.400,39.060
0.350,-0.263,-1.234,-135.800,-73.010,49.280
0.382,-0.496,-1.540,-109.970,-68.740,45.990
0.377,-0.788,-1.665,-84.070,-40.670,23.030
0.381,-0.859,-1.690,-66.080,-2.100,3.990
0.375,-0.826,-1.632,-47.600,23.170,-11.900
0.352,-0.739,-1.487,-30.100,39.410,-26.250
0.326,-0.574,-1.377,-17.570,45.710,-31.360
0.305,-0.449,-1.290,-21.910,49.770,-32.060
0.266,-0.299,-1.243,-30.590,48.090,-21.210
0.216,-0.209,-1.256,-38.220,44.940,-13.090

0.212,-0.475,-1.819,-89.740,110.040,30.240
0.188,-0.654,-1.741,-90.720,132.510,17.290
0.153,-0.694,-1.626,-95.130,158.620,3.710
0.142,-0.588,-1.405,-97.440,166.110,-1.120
0.164,-0.472,-1.353,-92.330,171.430,-0.280
