aX,aY,aZ,gX,gY,gZ
0.152,0.897,0.573,64.120,556.710,26.600
0.022,-0.529,3.329,21.910,284.410,-39.830
0.078,-0.522,4.348,-119.840,46.760,-116.340
0.233,-0.090,4.353,-73.150,-254.800,-119.560
0.312,0.227,0.287,-45.010,-179.060,-87.710
0.438,0.504,-0.285,-9.520,-19.390,-20.370
0.487,0.423,0.818,-2.380,35.770,7.420
0.422,0.018,1.664,-15.890,0.630,-5.530
0.466,-0.212,1.421,-30.310,-12.250,-48.650
0.516,-0.016,1.194,-34.300,-6.580,-41.510
0.573,0.203,1.220,-27.090,-5.110,-28.700
0.727,0.238,1.281,-18.200,-22.120,-12.740
0.807,0.017,1.094,-12.390,-25.620,-21.700
0.875,-0.119,0.978,-16.870,-22.960,-33.320
0.974,0.020,1.014,-17.920,-28.210,-35.000
1.039,0.192,0.993,-22.400,-43.610,-29.120
1.025,0.254,1.004,-10.430,-57.680,-24.360
1.087,0.249,0.948,-9.380,-68.530,-29.120
1.140,0.401,0.726,-21.280,-62.300,-28.420
1.140,0.621,0.520,-34.300,-36.190,-19.670
1.134,0.839,0.538,-41.790,-12.530,0.210
1.161,1.000,0.696,-46.830,1.190,38.710
1.184,1.087,0.847,-44.870,-0.350,78.190
1.226,0.798,0.728,-35.490,2.380,99.890
1.199,0.331,0.593,-43.400,35.910,87.290
1.042,0.259,0.805,-53.970,63.560,75.530
0.860,0.484,1.260,-26.740,76.790,90.930
0.802,0.426,1.746,30.800,58.870,103.110
0.793,-0.168,1.885,20.930,23.100,68.040
0.740,-0.439,1.586,-1.610,-3.990,15.680
0.511,-0.267,1.098,-32.060,-9.030,-17.430
0.456,0.120,0.910,-55.580,-1.820,-19.320
0.354,0.307,0.874,-78.540,7.070,-8.050
0.313,0.231,0.949,-93.100,4.830,-1.260
0.238,0.035,0.786,-111.440,-12.180,-3.640
-0.017,-0.188,0.555,-132.230,-3.290,-21.420
-0.254,-0.169,0.435,-139.790,19.810,-37.800
-0.474,0.061,0.564,-137.620,50.120,-32.830
-0.937,0.407,1.143,-107.730,60.550,-4.760
-1.255,0.577,1.683,-29.050,37.100,38.710
-1.366,0.229,1.778,5.040,1.050,43.120
-1.316,0.069,1.576,18.480,-32.270,42.210
-1.212,0.086,1.185,17.010,-62.440,48.650
-1.151,0.139,0.993,-1.330,-83.370,60.410
-1.185,0.168,0.770,-52.920,-99.610,81.550
-1.240,0.111,0.485,-83.160,-95.410,99.050
-1.251,-0.063,0.356,-98.560,-64.610,117.530
-1.257,-0.361,0.507,-110.040,-58.100,132.440
-1.245,-1.153,0.407,-118.720,-58.730,99.260
-1.310,-1.849,-0.210,-74.690,28.280,-10.220
-1.158,-1.895,0.436,-136.290,69.160,-125.160
-1.265,-0.710,0.760,-112.560,71.050,-165.970
-1.015,0.122,0.911,-85.120,53.970,-133.980
-0.978,0.523,0.606,-76.440,49.840,-86.800
-1.025,0.444,0.364,-79.520,67.550,-54.180
-0.914,0.137,0.307,-66.290,87.920,-28.700
-0.799,0.005,0.493,-49.910,89.460,-7.980
-0.837,-0.182,0.703,-30.590,67.480,4.690
-0.779,-0.369,0.707,-30.380,51.380,10.920
-0.715,-0.702,0.571,-32.620,51.100,2.800
-0.687,-0.868,0.497,-56.280,66.850,-23.870
-0.705,-0.837,0.720,-95.340,88.340,-50.680
-0.657,-0.504,0.969,-124.530,90.650,-47.670
-0.586,-0.285,1.234,-139.160,77.210,-28.420
-0.596,-0.402,1.270,-134.750,55.930,-30.030
-0.563,-0.560,1.012,-136.640,67.480,-47.740
-0.499,-0.273,1.106,-122.920,79.660,-50.610
-0.441,0.029,1.391,-93.030,69.300,-29.680
-0.406,0.123,1.534,-54.810,46.270,-3.570
-0.369,-0.059,1.606,-18.830,31.080,9.520
-0.381,-0.348,1.719,1.400,4.480,5.460
-0.387,-0.392,1.576,4.830,-21.770,5.390
-0.343,-0.405,1.114,8.190,-27.230,12.180
-0.357,-0.522,1.027,10.850,-27.440,9.380
-0.384,-0.635,0.962,-0.140,-29.610,-1.680
-0.324,-0.528,0.936,-5.740,-36.050,4.760
-0.313,-0.553,0.712,-0.630,-49.000,5.670
-0.274,-0.626,0.439,-5.460,-40.320,2.380
-0.274,-0.658,0.303,-5.810,-23.170,-3.990
-0.275,-0.585,0.352,-3.570,-6.090,-6.860
-0.254,-0.493,0.409,-3.010,8.400,-6.300
-0.193,-0.346,0.623,16.100,15.470,9.310
-0.205,-0.454,0.923,33.250,0.770,8.470
-0.127,-0.575,0.832,31.010,-0.910,0.490
-0.208,-0.444,0.884,31.430,4.480,6.720
-0.221,-0.404,1.062,32.060,-0.070,11.340
-0.227,-0.561,1.128,27.510,-4.060,0.980
-0.227,-0.490,1.182,19.950,-10.080,-3.150
-0.218,-0.336,1.138,19.390,-18.270,1.820
-0.214,-0.281,1.091,19.460,-20.230,7.560
-0.228,-0.258,1.068,15.680,-22.470,11.690
-0.241,-0.253,1.061,13.580,-24.290,14.280
-0.253,-0.210,1.020,8.330,-26.390,21.280
-0.272,-0.161,0.978,8.400,-25.410,35.490
-0.295,-0.258,0.960,9.450,-22.610,41.860
-0.342,-0.414,0.954,6.580,-21.000,38.290
-0.386,-0.479,0.947,-0.980,-13.370,32.900
-0.432,-0.419,1.003,5.180,-12.460,35.700
-0.474,-0.448,1.051,1.190,-13.230,33.180
-0.525,-0.525,1.104,-8.750,-12.880,23.030
-0.576,-0.488,1.099,-19.250,-14.840,18.480
-0.592,-0.334,1.040,-18.620,-10.990,26.390
-0.632,-0.327,1.220,-12.250,-14.840,35.280
-0.693,-0.420,1.334,-7.070,-31.850,42.910
