aX,aY,aZ,gX,gY,gZ
0.422,1.304,1.063,-29.260,54.670,-101.640
0.472,1.571,1.065,-13.510,34.650,-21.700
0.440,1.608,0.949,12.320,27.090,78.050
0.386,1.165,0.872,31.850,33.110,113.610
0.345,0.697,1.017,19.950,34.720,120.260
0.277,0.355,1.189,-1.820,24.500,111.930
0.208,0.122,1.250,-9.940,18.620,98.700
0.107,-0.098,1.359,1.750,10.360,59.290
0.156,-0.361,1.533,19.110,-10.150,19.390
0.120,-0.322,1.703,19.600,-40.530,-19.250
0.147,-0.009,1.806,43.260,-93.450,-30.450
0.233,0.348,1.795,69.930,-131.320,-17.710
0.215,0.632,1.752,91.910,-163.590,34.790
0.293,0.784,1.668,147.700,-197.260,77.700
0.369,0.643,1.403,148.610,-209.790,113.050
0.016,0.348,1.426,167.790,-237.790,126.280
-0.061,0.059,1.222,167.860,-264.250,120.470
0.517,-0.172,1.059,58.800,-200.200,69.580
1.450,0.807,0.340,-38.640,26.670,141.960
-0.415,1.045,1.778,28.140,1.050,209.650
-0.242,-0.063,2.399,66.850,-144.410,190.330
-0.265,-1.495,1.931,-7.140,-187.950,58.310
-0.268,-1.911,1.722,-96.530,-232.120,-112.630
-0.323,-1.513,0.852,-159.950,-211.890,-199.640
-0.134,-0.760,0.680,-180.390,-172.410,-238.630
-0.002,0.322,0.904,-154.770,-156.520,-201.600
0.070,0.723,1.125,-118.510,-187.250,-141.820
0.027,0.659,0.978,-94.360,-215.950,-89.950
0.023,0.143,0.598,-76.230,-217.630,-80.500
0.089,-0.442,0.250,-73.010,-192.710,-102.480
-0.043,-0.271,0.476,-122.290,-182.420,-98.840
0.061,-0.358,0.346,-163.170,-189.980,-118.160
0.098,-0.487,0.090,-195.300,-184.170,-141.260
0.051,-0.323,-0.169,-207.060,-164.220,-150.360
0.094,-0.239,-0.447,-206.710,-135.800,-153.580
0.064,-0.239,-0.575,-269.710,-111.300,-171.920
0.116,-0.257,-0.859,-277.760,-64.050,-195.160
0.085,-0.018,-0.891,-288.050,-25.620,-204.610
-0.023,0.253,-0.911,-293.020,4.200,-206.360
-0.046,0.337,-1.078,-284.340,44.660,-212.100
-0.040,0.459,-1.173,-274.260,90.020,-214.130
-0.052,0.765,-1.149,-238.910,136.430,-198.520
-0.037,1.000,-0.865,-206.780,194.600,-159.950
-0.171,0.864,-0.476,-213.990,207.830,-139.580
-0.140,0.353,-0.383,-236.320,226.590,-159.530
-0.188,0.400,-0.291,-245.000,264.740,-165.550
-0.261,0.621,0.127,-238.630,277.690,-158.970
-0.201,0.702,0.402,-220.850,276.150,-159.880
-0.179,1.036,0.515,-212.520,273.490,-143.500
-0.242,1.250,0.600,-191.520,278.110,-114.800
-0.233,1.207,0.749,-175.070,273.210,-88.410
-0.242,1.057,0.851,-168.630,269.920,-81.620
